transaction_id,transaction_ref,account_id,txn_type_id,amount,balance_after,transaction_date,description,channel,status
43,TXN20260705000003,43,9,36250.00,1486250.00,2026-07-05 11:00:00,Quarterly Interest Credit,System,Completed
44,TXN20260705000004,44,10,45000.00,127000.00,2026-07-05 11:45:00,Salary Credit July 2026,NEFT,Completed
45,TXN20260705000005,45,2,25000.00,210000.00,2026-07-05 12:30:00,Cash Withdrawal,Branch,Completed
46,TXN20260705000006,46,6,1800.00,56200.00,2026-07-05 13:15:00,UPI Payment to BookMyShow,Mobile,Completed
47,TXN20260705000007,47,8,10000.00,145000.00,2026-07-05 14:00:00,ATM Withdrawal,ATM,Completed
48,TXN20260705000008,48,6,900.00,44100.00,2026-07-05 14:45:00,UPI Payment to Dunzo,Mobile,Completed
49,TXN20260705000009,49,1,60000.00,440000.00,2026-07-05 15:30:00,Cash Deposit,Branch,Completed
50,TXN20260705000010,50,8,3000.00,25000.00,2026-07-05 16:15:00,ATM Withdrawal,ATM,Completed
51,TXN20260706000001,51,10,62000.00,357000.00,2026-07-06 09:30:00,Salary Credit July 2026,NEFT,Completed
52,TXN20260706000002,52,6,2500.00,102500.00,2026-07-06 10:15:00,UPI Payment to Ajio,Mobile,Completed
53,TXN20260706000003,53,3,30000.00,195000.00,2026-07-06 11:00:00,NEFT to Electricity Bill,Net Banking,Completed
54,TXN20260706000004,54,8,6000.00,69000.00,2026-07-06 11:45:00,ATM Withdrawal,ATM,Completed
55,TXN20260706000005,55,1,100000.00,720000.00,2026-07-06 12:30:00,Cash Deposit,Branch,Completed
56,TXN20260706000006,56,6,1200.00,34300.00,2026-07-06 13:15:00,UPI Payment to PhonePe,Mobile,Completed
57,TXN20260706000007,57,10,52000.00,200000.00,2026-07-06 14:00:00,Salary Credit July 2026,NEFT,Completed
58,TXN20260706000008,58,8,4000.00,51000.00,2026-07-06 14:45:00,ATM Withdrawal,ATM,Completed
59,TXN20260706000009,59,6,3200.00,261800.00,2026-07-06 15:30:00,UPI Payment to Croma,Mobile,Completed
60,TXN20260706000010,60,2,8000.00,84000.00,2026-07-06 16:15:00,Cash Withdrawal,Branch,Completed
61,TXN20260707000001,61,9,42000.00,1722000.00,2026-07-07 09:30:00,Quarterly Interest Credit,System,Completed
62,TXN20260707000002,62,6,1500.00,46500.00,2026-07-07 10:15:00,UPI Payment to MakeMyTrip,Mobile,Completed
63,TXN20260707000003,63,1,45000.00,380000.00,2026-07-07 11:00:00,Cash Deposit,Branch,Completed
64,TXN20260707000004,64,8,2000.00,19000.00,2026-07-07 11:45:00,ATM Withdrawal,ATM,Completed
65,TXN20260707000005,65,10,58000.00,236000.00,2026-07-07 12:30:00,Salary Credit July 2026,NEFT,Completed
66,TXN20260707000006,66,9,61250.00,2511250.00,2026-07-07 13:15:00,Quarterly Interest Credit,System,Completed
67,TXN20260707000007,67,6,2200.00,125800.00,2026-07-07 14:00:00,UPI Payment to Decathlon,Mobile,Completed
68,TXN20260707000008,68,8,4000.00,34500.00,2026-07-07 14:45:00,ATM Withdrawal,ATM,Completed
69,TXN20260707000009,69,3,50000.00,365000.00,2026-07-07 15:30:00,NEFT to Home Renovation,Net Banking,Completed
70,TXN20260707000010,70,6,800.00,15700.00,2026-07-07 16:15:00,UPI Payment to Grofers,Mobile,Completed
71,TXN20260708000001,71,9,33000.00,1353000.00,2026-07-08 09:30:00,Quarterly Interest Credit,System,Completed
72,TXN20260708000002,72,10,50000.00,135000.00,2026-07-08 10:15:00,Salary Credit July 2026,NEFT,Completed
73,TXN20260708000003,73,1,35000.00,290000.00,2026-07-08 11:00:00,Cash Deposit,Branch,Completed
74,TXN20260708000004,74,6,1800.00,60700.00,2026-07-08 11:45:00,UPI Payment to Lenskart,Mobile,Completed
75,TXN20260708000005,75,8,8000.00,187000.00,2026-07-08 12:30:00,ATM Withdrawal,ATM,Completed
76,TXN20260708000006,76,6,2500.00,109500.00,2026-07-08 13:15:00,UPI Payment to Nykaa,Mobile,Completed
77,TXN20260708000007,77,2,20000.00,455000.00,2026-07-08 14:00:00,Cash Withdrawal,Branch,Completed
78,TXN20260708000008,78,10,42000.00,74500.00,2026-07-08 14:45:00,Salary Credit July 2026,NEFT,Completed
79,TXN20260708000009,79,6,1500.00,166500.00,2026-07-08 15:30:00,UPI Payment to Cleartrip,Mobile,Completed
80,TXN20260708000010,80,8,5000.00,50500.00,2026-07-08 16:15:00,ATM Withdrawal,ATM,Completed
81,TXN20260709000001,81,1,50000.00,355000.00,2026-07-09 09:30:00,Cash Deposit,Branch,Completed
82,TXN20260709000002,82,6,1200.00,77300.00,2026-07-09 10:15:00,UPI Payment to IRCTC,Mobile,Completed
83,TXN20260709000003,83,8,3000.00,21000.00,2026-07-09 11:00:00,ATM Withdrawal,ATM,Completed
84,TXN20260709000004,84,9,39500.00,1619500.00,2026-07-09 11:45:00,Quarterly Interest Credit,System,Completed
85,TXN20260709000005,85,10,46000.00,141500.00,2026-07-09 12:30:00,Salary Credit July 2026,NEFT,Completed
86,TXN20260709000006,86,6,900.00,41600.00,2026-07-09 13:15:00,UPI Payment to Medlife,Mobile,Completed
87,TXN20260709000007,87,3,40000.00,325000.00,2026-07-09 14:00:00,NEFT to Business Partner,Net Banking,Completed
88,TXN20260709000008,88,8,6000.00,132000.00,2026-07-09 14:45:00,ATM Withdrawal,ATM,Completed
89,TXN20260709000009,89,6,2800.00,282700.00,2026-07-09 15:30:00,UPI Payment to Urban Company,Mobile,Completed
90,TXN20260709000010,90,10,55000.00,157000.00,2026-07-09 16:15:00,Salary Credit July 2026,NEFT,Completed
91,TXN20260710000001,91,1,80000.00,625000.00,2026-07-10 09:30:00,Cash Deposit,Branch,Completed
92,TXN20260710000002,92,6,1800.00,56700.00,2026-07-10 10:15:00,UPI Payment to Cult.fit,Mobile,Completed
93,TXN20260710000003,93,8,10000.00,208000.00,2026-07-10 11:00:00,ATM Withdrawal,ATM,Completed
94,TXN20260710000004,94,6,600.00,34900.00,2026-07-10 11:45:00,UPI Payment to Netflix,Mobile,Completed
95,TXN20260710000005,95,3,35000.00,363000.00,2026-07-10 12:30:00,NEFT to Credit Card Bill,Net Banking,Completed
96,TXN20260710000006,96,10,48000.00,173500.00,2026-07-10 13:15:00,Salary Credit July 2026,NEFT,Completed
97,TXN20260710000007,97,2,15000.00,260500.00,2026-07-10 14:00:00,Cash Withdrawal,Branch,Completed
98,TXN20260710000008,98,6,2200.00,66300.00,2026-07-10 14:45:00,UPI Payment to Flipkart,Mobile,Completed
99,TXN20260710000009,99,1,70000.00,555500.00,2026-07-10 15:30:00,Cash Deposit,Branch,Completed
100,TXN20260710000010,100,8,3000.00,25500.00,2026-07-10 16:15:00,ATM Withdrawal,ATM,Completed
101,TXN20260711000001,101,10,60000.00,235500.00,2026-07-11 09:30:00,Salary Credit July 2026,NEFT,Completed
102,TXN20260711000002,102,6,1500.00,94000.00,2026-07-11 10:15:00,UPI Payment to Spotify,Mobile,Completed
103,TXN20260711000003,103,9,48125.00,1973125.00,2026-07-11 11:00:00,Quarterly Interest Credit,System,Completed
104,TXN20260711000004,104,8,4000.00,48500.00,2026-07-11 11:45:00,ATM Withdrawal,ATM,Completed
105,TXN20260711000005,105,6,2500.00,242500.00,2026-07-11 12:30:00,UPI Payment to Tata CLiQ,Mobile,Completed
106,TXN20260711000006,106,1,25000.00,143000.00,2026-07-11 13:15:00,Cash Deposit,Branch,Completed
107,TXN20260711000007,107,3,30000.00,238000.00,2026-07-11 14:00:00,NEFT to SIP Investment,Net Banking,Completed
108,TXN20260711000008,108,6,1200.00,71300.00,2026-07-11 14:45:00,UPI Payment to Amazon Prime,Mobile,Completed
109,TXN20260711000009,109,10,75000.00,660000.00,2026-07-11 15:30:00,Salary Credit July 2026,NEFT,Completed
110,TXN20260711000010,110,8,5000.00,103000.00,2026-07-11 16:15:00,ATM Withdrawal,ATM,Completed
111,TXN20260712000001,111,1,60000.00,485000.00,2026-07-12 09:30:00,Cash Deposit,Branch,Completed
112,TXN20260712000002,112,6,800.00,37700.00,2026-07-12 10:15:00,UPI Payment to Swiggy Instamart,Mobile,Completed
113,TXN20260712000003,113,9,42125.00,1727125.00,2026-07-12 11:00:00,Quarterly Interest Credit,System,Completed
114,TXN20260712000004,114,10,52000.00,217000.00,2026-07-12 11:45:00,Salary Credit July 2026,NEFT,Completed
115,TXN20260712000005,115,8,6000.00,92500.00,2026-07-12 12:30:00,ATM Withdrawal,ATM,Completed
116,TXN20260712000006,116,6,3500.00,231500.00,2026-07-12 13:15:00,UPI Payment to Apple Store,Mobile,Completed
117,TXN20260712000007,117,3,25000.00,163000.00,2026-07-12 14:00:00,NEFT to Mutual Fund,Net Banking,Completed
118,TXN20260712000008,118,6,1800.00,133700.00,2026-07-12 14:45:00,UPI Payment to Lifestyle,Mobile,Completed
119,TXN20260712000009,119,1,90000.00,615000.00,2026-07-12 15:30:00,Cash Deposit,Branch,Completed
120,TXN20260712000010,120,8,4000.00,81500.00,2026-07-12 16:15:00,ATM Withdrawal,ATM,Completed
121,TXN20260713000001,121,4,200000.00,1050000.00,2026-07-13 09:30:00,RTGS to Vendor,Net Banking,Completed
122,TXN20260713000002,122,4,350000.00,2500000.00,2026-07-13 10:15:00,RTGS to Supplier,Net Banking,Completed
123,TXN20260713000003,123,4,500000.00,4000000.00,2026-07-13 11:00:00,RTGS to Property Purchase,Net Banking,Completed
124,TXN20260713000004,124,4,800000.00,5400000.00,2026-07-13 11:45:00,RTGS to Investment,Net Banking,Completed
125,TXN20260713000005,125,4,450000.00,3400000.00,2026-07-13 12:30:00,RTGS to Business Partner,Net Banking,Completed
126,TXN20260713000006,126,4,280000.00,1870000.00,2026-07-13 13:15:00,RTGS to Land Deal,Net Banking,Completed
127,TXN20260713000007,127,4,650000.00,5150000.00,2026-07-13 14:00:00,RTGS to Stock Purchase,Net Banking,Completed
128,TXN20260713000008,128,4,380000.00,2820000.00,2026-07-13 14:45:00,RTGS to Gold Investment,Net Banking,Completed
129,TXN20260713000009,129,4,220000.00,1630000.00,2026-07-13 15:30:00,RTGS to Vehicle Purchase,Net Banking,Completed
130,TXN20260713000010,130,4,520000.00,3730000.00,2026-07-13 16:15:00,RTGS to Flat Booking,Net Banking,Completed
131,TXN20260714000001,1,11,22500.00,262500.50,2026-07-14 09:30:00,Home Loan EMI July,System,Completed
132,TXN20260714000002,3,11,35000.00,485000.00,2026-07-14 10:15:00,Car Loan EMI July,System,Completed
133,TXN20260714000003,5,11,18500.00,296500.00,2026-07-14 11:00:00,Personal Loan EMI July,System,Completed
134,TXN20260714000004,7,11,45000.00,605000.00,2026-07-14 11:45:00,Home Loan EMI July,System,Completed
135,TXN20260714000005,9,11,28000.00,1253250.00,2026-07-14 12:30:00,Business Loan EMI July,System,Completed
136,TXN20260714000006,11,11,15500.00,224500.50,2026-07-14 13:15:00,Education Loan EMI July,System,Completed
137,TXN20260714000007,13,11,52000.00,1948000.00,2026-07-14 14:00:00,Home Loan EMI July,System,Completed
138,TXN20260714000008,15,11,8500.00,46500.00,2026-07-14 14:45:00,Two Wheeler Loan EMI July,System,Completed
139,TXN20260714000009,17,11,32000.00,383000.00,2026-07-14 15:30:00,Car Loan EMI July,System,Completed
140,TXN20260714000010,19,11,19000.00,333000.00,2026-07-14 16:15:00,Personal Loan EMI July,System,Completed
141,TXN20260715000001,131,10,185000.00,370000.00,2026-07-15 09:30:00,Salary Credit July 2026,NEFT,Completed
142,TXN20260715000002,132,10,142000.00,284000.00,2026-07-15 10:15:00,Salary Credit July 2026,NEFT,Completed
143,TXN20260715000003,133,10,198000.00,396000.00,2026-07-15 11:00:00,Salary Credit July 2026,NEFT,Completed
144,TXN20260715000004,134,10,125000.00,250000.00,2026-07-15 11:45:00,Salary Credit July 2026,NEFT,Completed
145,TXN20260715000005,135,10,215000.00,430000.00,2026-07-15 12:30:00,Salary Credit July 2026,NEFT,Completed
146,TXN20260715000006,136,10,168000.00,336000.00,2026-07-15 13:15:00,Salary Credit July 2026,NEFT,Completed
147,TXN20260715000007,137,10,205000.00,410000.00,2026-07-15 14:00:00,Salary Credit July 2026,NEFT,Completed
148,TXN20260715000008,138,10,148000.00,296000.00,2026-07-15 14:45:00,Salary Credit July 2026,NEFT,Completed
149,TXN20260715000009,139,10,232000.00,464000.00,2026-07-15 15:30:00,Salary Credit July 2026,NEFT,Completed
150,TXN20260715000010,140,10,175000.00,350000.00,2026-07-15 16:15:00,Salary Credit July 2026,NEFT,Completed
151,TXN20260716000001,1,6,4500.00,258000.50,2026-07-16 09:30:00,UPI Payment to Reliance Digital,Mobile,Completed
152,TXN20260716000002,2,6,1200.00,141300.75,2026-07-16 10:15:00,UPI Payment to More Supermarket,Mobile,Completed
153,TXN20260716000003,3,6,3800.00,516200.00,2026-07-16 11:00:00,UPI Payment to Apollo Pharmacy,Mobile,Completed
154,TXN20260716000004,4,6,950.00,77550.25,2026-07-16 11:45:00,UPI Payment to Hotstar,Mobile,Completed
155,TXN20260716000005,5,6,2200.00,312800.00,2026-07-16 12:30:00,UPI Payment to Decathlon,Mobile,Completed
156,TXN20260716000006,6,6,750.00,44450.50,2026-07-16 13:15:00,UPI Payment to Chai Point,Mobile,Completed
157,TXN20260716000007,7,6,5500.00,674500.00,2026-07-16 14:00:00,UPI Payment to Tanishq,Mobile,Completed
158,TXN20260716000008,8,6,1100.00,27650.00,2026-07-16 14:45:00,UPI Payment to Rapido,Mobile,Completed
159,TXN20260716000009,9,6,8500.00,1272750.00,2026-07-16 15:30:00,UPI Payment to Titan Eye+,Mobile,Completed
160,TXN20260716000010,10,6,1800.00,93200.00,2026-07-16 16:15:00,UPI Payment to PVR Cinemas,Mobile,Completed
161,TXN20260717000001,21,6,12000.00,1884250.00,2026-07-17 09:30:00,UPI Payment to IKEA,Mobile,Completed
162,TXN20260717000002,23,6,2500.00,222500.00,2026-07-17 10:15:00,UPI Payment to Crossword,Mobile,Completed
163,TXN20260717000003,25,6,6800.00,508200.00,2026-07-17 11:00:00,UPI Payment to Westside,Mobile,Completed
164,TXN20260717000004,27,6,1500.00,151500.00,2026-07-17 11:45:00,UPI Payment to Cafe Coffee Day,Mobile,Completed
165,TXN20260717000005,29,6,3200.00,47600.00,2026-07-17 12:30:00,UPI Payment to Shoppers Stop,Mobile,Completed
166,TXN20260717000006,31,6,4500.00,555500.00,2026-07-17 13:15:00,UPI Payment to Marks & Spencer,Mobile,Completed
167,TXN20260717000007,33,6,2800.00,145200.00,2026-07-17 14:00:00,UPI Payment to Home Centre,Mobile,Completed
168,TXN20260717000008,35,6,1800.00,36200.00,2026-07-17 14:45:00,UPI Payment to Starbucks,Mobile,Completed
169,TXN20260717000009,37,6,5200.00,266300.00,2026-07-17 15:30:00,UPI Payment to Puma,Mobile,Completed
170,TXN20260717000010,39,6,2200.00,182800.00,2026-07-17 16:15:00,UPI Payment to Nike,Mobile,Completed
171,TXN20260718000001,41,13,3500.00,366500.00,2026-07-18 09:30:00,Electricity Bill Payment,Net Banking,Completed
172,TXN20260718000002,43,13,4200.00,1482050.00,2026-07-18 10:15:00,Gas Bill Payment,Net Banking,Completed
173,TXN20260718000003,45,13,2800.00,207200.00,2026-07-18 11:00:00,Water Bill Payment,Net Banking,Completed
174,TXN20260718000004,47,13,1500.00,143500.00,2026-07-18 11:45:00,Broadband Bill Payment,Net Banking,Completed
175,TXN20260718000005,49,13,5500.00,434500.00,2026-07-18 12:30:00,Credit Card Bill Payment,Net Banking,Completed
176,TXN20260718000006,51,13,2200.00,354800.00,2026-07-18 13:15:00,Mobile Bill Payment,Net Banking,Completed
177,TXN20260718000007,53,13,3800.00,191200.00,2026-07-18 14:00:00,DTH Bill Payment,Net Banking,Completed
178,TXN20260718000008,55,13,8500.00,711500.00,2026-07-18 14:45:00,Property Tax Payment,Net Banking,Completed
179,TXN20260718000009,57,13,1800.00,198200.00,2026-07-18 15:30:00,Insurance Premium Payment,Net Banking,Completed
180,TXN20260718000010,59,13,4500.00,257300.00,2026-07-18 16:15:00,LIC Premium Payment,Net Banking,Completed
181,TXN20260719000001,61,7,150000.00,1572000.00,2026-07-19 09:30:00,Cheque Deposit from Client,Branch,Completed
182,TXN20260719000002,63,7,85000.00,420000.00,2026-07-19 10:15:00,Cheque Deposit from Rent,Branch,Completed
183,TXN20260719000003,65,7,120000.00,298000.00,2026-07-19 11:00:00,Cheque Deposit from Sale,Branch,Completed
184,TXN20260719000004,67,7,200000.00,280000.00,2026-07-19 11:45:00,Cheque Deposit from Commission,Branch,Completed
185,TXN20260719000005,69,7,95000.00,430000.00,2026-07-19 12:30:00,Cheque Deposit from Dividend,Branch,Completed
186,TXN20260719000006,71,7,180000.00,1533000.00,2026-07-19 13:15:00,Cheque Deposit from Settlement,Branch,Completed
187,TXN20260719000007,73,7,75000.00,365000.00,2026-07-19 14:00:00,Cheque Deposit from Royalty,Branch,Completed
188,TXN20260719000008,75,7,110000.00,297000.00,2026-07-19 14:45:00,Cheque Deposit from Bonus,Branch,Completed
189,TXN20260719000009,77,7,250000.00,705000.00,2026-07-19 15:30:00,Cheque Deposit from Sale Proceeds,Branch,Completed
190,TXN20260719000010,79,7,65000.00,231500.00,2026-07-19 16:15:00,Cheque Deposit from Refund,Branch,Completed
191,TXN20260720000001,1,6,3200.00,281800.50,2026-07-20 09:30:00,UPI Payment to Blinkit,Mobile,Completed
192,TXN20260720000002,5,6,1800.00,313000.00,2026-07-20 10:15:00,UPI Payment to Zepto,Mobile,Completed
193,TXN20260720000003,9,6,4500.00,1277250.00,2026-07-20 11:00:00,UPI Payment to 1mg,Mobile,Completed
194,TXN20260720000004,13,6,2500.00,1997500.00,2026-07-20 11:45:00,UPI Payment to Pharmeasy,Mobile,Completed
195,TXN20260720000005,17,6,1200.00,414800.00,2026-07-20 12:30:00,UPI Payment to Netmeds,Mobile,Completed
196,TXN20260720000006,21,6,3800.00,1892450.00,2026-07-20 13:15:00,UPI Payment to HealthifyMe,Mobile,Completed
197,TXN20260720000007,25,6,2200.00,514000.00,2026-07-20 14:00:00,UPI Payment to Practo,Mobile,Completed
198,TXN20260720000008,29,6,950.00,49850.00,2026-07-20 14:45:00,UPI Payment to DocsApp,Mobile,Completed
199,TXN20260720000009,33,6,1500.00,146700.00,2026-07-20 15:30:00,UPI Payment to Tata 1mg,Mobile,Completed
200,TXN20260720000010,37,6,2800.00,268500
