policy_id,policy_number,customer_id,product_id,premium_amount,coverage_amount,start_date,end_date,status
39,SBIL0000000039,77,2,58000.00,6000000.00,2020-01-20,2035-01-20,Active
40,SBIL0000000040,79,8,6800.00,520000.00,2023-04-15,2024-04-15,Active
41,SBIL0000000041,81,1,34000.00,28000000.00,2022-09-25,2047-09-25,Active
42,SBIL0000000042,83,6,9500.00,800000.00,2025-03-10,2026-03-10,Active
43,SBIL0000000043,85,7,26000.00,9000000.00,2023-06-18,2024-06-18,Active
44,SBIL0000000044,87,1,44000.00,38000000.00,2021-11-05,2046-11-05,Active
45,SBIL0000000045,89,5,30000.00,3500000.00,2022-04-22,2037-04-22,Active
46,SBIL0000000046,91,1,52000.00,45000000.00,2020-07-30,2045-07-30,Active
47,SBIL0000000047,93,6,17000.00,2800000.00,2023-02-12,2024-02-12,Active
48,SBIL0000000048,95,1,38000.00,32000000.00,2021-09-28,2046-09-28,Active
49,SBIL0000000049,97,8,7500.00,620000.00,2024-06-08,2025-06-08,Active
50,SBIL0000000050,99,3,78000.00,5000000.00,2020-03-20,2040-03-20,Active
51,SBIL0000000051,2,6,10500.00,950000.00,2024-08-15,2025-08-15,Active
52,SBIL0000000052,4,8,5200.00,380000.00,2025-01-22,2026-01-22,Active
53,SBIL0000000053,6,6,8500.00,700000.00,2025-04-10,2026-04-10,Active
54,SBIL0000000054,8,8,4800.00,320000.00,2024-11-05,2025-11-05,Active
55,SBIL0000000055,10,6,12500.00,1500000.00,2025-02-18,2026-02-18,Active
56,SBIL0000000056,12,8,5500.00,400000.00,2024-05-28,2025-05-28,Active
57,SBIL0000000057,14,9,3500.00,5000000.00,2025-06-08,2026-06-08,Active
58,SBIL0000000058,16,6,7800.00,600000.00,2024-09-20,2025-09-20,Active
59,SBIL0000000059,18,8,4200.00,280000.00,2025-03-15,2026-03-15,Active
60,SBIL0000000060,20,6,9200.00,820000.00,2024-07-25,2025-07-25,Active
61,SBIL0000000061,22,10,1800.00,350000.00,2025-05-10,2025-05-25,Active
62,SBIL0000000062,24,6,11500.00,1200000.00,2024-02-18,2025-02-18,Active
63,SBIL0000000063,26,8,6200.00,480000.00,2023-08-05,2024-08-05,Active
64,SBIL0000000064,28,9,4200.00,6000000.00,2023-11-22,2024-11-22,Active
65,SBIL0000000065,30,6,8800.00,750000.00,2024-04-30,2025-04-30,Active
66,SBIL0000000066,32,8,4500.00,300000.00,2025-07-12,2026-07-12,Active
67,SBIL0000000067,34,1,68000.00,50000000.00,2017-10-28,2042-10-28,Active
68,SBIL0000000068,36,6,13500.00,1800000.00,2023-06-08,2024-06-08,Active
69,SBIL0000000069,38,7,24000.00,7500000.00,2024-01-20,2025-01-20,Active
70,SBIL0000000070,40,8,5000.00,350000.00,2025-08-15,2026-08-15,Active
71,SBIL0000000071,42,6,7200.00,550000.00,2025-01-25,2026-01-25,Active
72,SBIL0000000072,44,8,5800.00,420000.00,2024-06-10,2025-06-10,Active
73,SBIL0000000073,46,6,8200.00,680000.00,2025-09-18,2026-09-18,Active
74,SBIL0000000074,48,8,4800.00,320000.00,2024-03-05,2025-03-05,Active
75,SBIL0000000075,50,6,6800.00,500000.00,2025-06-22,2026-06-22,Active
76,SBIL0000000076,52,10,2200.00,400000.00,2023-09-30,2023-10-15,Active
77,SBIL0000000077,54,6,10200.00,900000.00,2024-04-12,2025-04-12,Active
78,SBIL0000000078,56,8,5200.00,380000.00,2024-08-28,2025-08-28,Active
79,SBIL0000000079,58,6,7500.00,580000.00,2025-02-08,2026-02-08,Active
80,SBIL0000000080,60,8,6000.00,450000.00,2024-07-20,2025-07-20,Active
81,SBIL0000000081,62,6,8800.00,720000.00,2024-10-15,2025-10-15,Active
82,SBIL0000000082,64,8,4500.00,300000.00,2025-05-25,2026-05-25,Active
83,SBIL0000000083,66,1,72000.00,50000000.00,2016-12-10,2041-12-10,Active
84,SBIL0000000084,68,6,9500.00,850000.00,2025-03-18,2026-03-18,Active
85,SBIL0000000085,70,8,4200.00,280000.00,2025-07-05,2026-07-05,Active
86,SBIL0000000086,72,7,22000.00,6500000.00,2023-10-22,2024-10-22,Active
87,SBIL0000000087,74,6,11000.00,1100000.00,2024-05-30,2025-05-30,Active
88,SBIL0000000088,76,8,5500.00,400000.00,2023-08-12,2024-08-12,Active
89,SBIL0000000089,78,6,7800.00,620000.00,2024-11-28,2025-11-28,Active
90,SBIL0000000090,80,8,4800.00,320000.00,2025-04-08,2026-04-08,Active
91,SBIL0000000091,82,6,8500.00,700000.00,2024-09-20,2025-09-20,Active
92,SBIL0000000092,84,1,65000.00,50000000.00,2017-02-15,2042-02-15,Active
93,SBIL0000000093,86,6,6500.00,480000.00,2025-06-25,2026-06-25,Active
94,SBIL0000000094,88,7,20000.00,5500000.00,2023-03-10,2024-03-10,Active
95,SBIL0000000095,90,6,9800.00,880000.00,2024-06-18,2025-06-18,Active
96,SBIL0000000096,92,8,5200.00,380000.00,2024-01-05,2025-01-05,Active
97,SBIL0000000097,94,6,7200.00,560000.00,2025-08-22,2026-08-22,Active
98,SBIL0000000098,96,8,6500.00,500000.00,2023-11-30,2024-11-30,Active
99,SBIL0000000099,98,6,8200.00,680000.00,2024-04-12,2025-04-12,Active
100,SBIL0000000100,100,8,4500.00,300000.00,2025-09-28,2026-09-28,Active
