branch_id,branch_code,branch_name,city_id,address,ifsc_code,branch_type,opening_date,is_active
61,SBI0061,SBI Prahlad Nagar,12,Prahlad Nagar Ahmedabad 380015,SBIN0000061,Regular,2002-01-26,1
62,SBI0062,SBI Satellite Ahmedabad,12,Satellite Road 380015,SBIN0000062,Regular,1997-05-01,1
63,SBI0063,SBI Park Street Kolkata,16,Park Street Kolkata 700016,SBIN0000063,Regular,1965-08-15,1
64,SBI0064,SBI New Town Kolkata,16,Rajarhat New Town 700156,SBIN0000064,Regular,2012-03-23,1
65,SBI0065,SBI Saket Delhi,5,Saket District Centre 110017,SBIN0000065,Regular,2000-11-14,1
66,SBI0066,SBI Rohini Delhi,5,Sector 7 Rohini 110085,SBIN0000066,Regular,1995-01-26,1
67,SBI0067,SBI Madhapur Hyderabad,32,Madhapur Hyderabad 500081,SBIN0000067,Regular,2006-09-17,1
68,SBI0068,SBI Gachibowli,32,Gachibowli Hyderabad 500032,SBIN0000068,Regular,2011-04-01,1
69,SBI0069,SBI Varanasi Main,21,Godowlia Varanasi 221001,SBIN0000069,Main Branch,1963-03-08,1
70,SBI0070,SBI Agra Main,22,Sanjay Place Agra 282002,SBIN0000070,Main Branch,1964-10-31,1
71,SBI0071,SBI Kanpur Main,20,The Mall Kanpur 208001,SBIN0000071,Main Branch,1961-01-26,1
72,SBI0072,SBI Prayagraj Main,75,Civil Lines Prayagraj 211001,SBIN0000072,Main Branch,1962-04-14,1
73,SBI0073,SBI Jodhpur Main,24,High Court Road Jodhpur 342001,SBIN0000073,Main Branch,1969-03-30,1
74,SBI0074,SBI Udaipur Main,25,Bapu Bazaar Udaipur 313001,SBIN0000074,Main Branch,1971-06-18,1
75,SBI0075,SBI Kota Main,77,Shopping Centre Kota 324007,SBIN0000075,Main Branch,1974-01-26,1
76,SBI0076,SBI Jabalpur Main,79,Civil Lines Jabalpur 482001,SBIN0000076,Main Branch,1968-11-01,1
77,SBI0077,SBI Gwalior Main,28,Jayendraganj Gwalior 474009,SBIN0000077,Main Branch,1967-03-01,1
78,SBI0078,SBI Hubli Main,67,Lamington Road Hubli 580020,SBIN0000078,Main Branch,1972-11-01,1
79,SBI0079,SBI Mangaluru Main,8,KS Rao Road Mangaluru 575001,SBIN0000079,Main Branch,1970-11-01,1
80,SBI0080,SBI Madurai Main,11,West Veli Street Madurai 625001,SBIN0000080,Main Branch,1966-04-14,1
81,SBI0081,SBI Salem Main,69,Cherry Road Salem 636007,SBIN0000081,Main Branch,1973-04-14,1
82,SBI0082,SBI Rajkot Main,15,Dhebar Road Rajkot 360001,SBIN0000082,Main Branch,1969-10-31,1
83,SBI0083,SBI Jamnagar Main,72,Teen Batti Jamnagar 361001,SBIN0000083,Main Branch,1972-05-01,1
84,SBI0084,SBI Siliguri Main,73,Hill Cart Road Siliguri 734001,SBIN0000084,Main Branch,1975-01-26,1
85,SBI0085,SBI Howrah Main,17,GT Road Howrah 711101,SBIN0000085,Main Branch,1960-08-15,1
86,SBI0086,SBI Durgapur Main,18,City Centre Durgapur 713216,SBIN0000086,Regular,1978-11-14,1
87,SBI0087,SBI Jalandhar Main,87,GT Road Jalandhar 144001,SBIN0000087,Main Branch,1974-03-23,1
88,SBI0088,SBI Patiala Main,88,The Mall Patiala 147001,SBIN0000088,Main Branch,1973-11-01,1
89,SBI0089,SBI Dhanbad Main,97,Bank More Dhanbad 826001,SBIN0000089,Main Branch,1976-01-26,1
90,SBI0090,SBI Jamshedpur Main,47,Bistupur Jamshedpur 831001,SBIN0000090,Main Branch,1972-03-03,1
91,SBI0091,SBI Kozhikode Main,31,SM Street Kozhikode 673001,SBIN0000091,Main Branch,1970-11-01,1
92,SBI0092,SBI Thrissur Main,81,Round South Thrissur 680001,SBIN0000092,Main Branch,1972-11-01,1
93,SBI0093,SBI Srinagar Main,59,Lal Chowk Srinagar 190001,SBIN0000093,Main Branch,1968-01-26,1
94,SBI0094,SBI Jammu Main,59,Raghunath Bazaar Jammu 180001,SBIN0000094,Main Branch,1967-01-26,1
95,SBI0095,SBI Panaji Main,51,MG Road Panaji 403001,SBIN0000095,Main Branch,1975-05-30,1
96,SBI0096,SBI Shimla Main,50,The Mall Shimla 171001,SBIN0000096,Main Branch,1969-01-25,1
97,SBI0097,SBI Haridwar Main,100,Railway Road Haridwar 249401,SBIN0000097,Regular,1980-04-14,1
98,SBI0098,SBI Rishikesh,100,Lakshman Jhula Road 249201,SBIN0000098,Regular,1985-11-14,1
99,SBI0099,SBI Imphal Main,54,Paona Bazaar Imphal 795001,SBIN0000099,Main Branch,1980-01-21,1
100,SBI0100,SBI Shillong Main,53,Police Bazaar Shillong 793001,SBIN0000100,Main Branch,1978-01-21,1
101,SBI0101,SBI Agartala Main,52,HGB Road Agartala 799001,SBIN0000101,Main Branch,1979-01-21,1
102,SBI0102,SBI Aizawl Main,57,Zarkawt Aizawl 796001,SBIN0000102,Main Branch,1982-02-20,1
103,SBI0103,SBI Kohima Main,55,Main Town Kohima 797001,SBIN0000103,Main Branch,1981-12-01,1
104,SBI0104,SBI Itanagar Main,56,Bank Tinali Itanagar 791111,SBIN0000104,Main Branch,1987-02-20,1
105,SBI0105,SBI Gangtok Main,58,MG Marg Gangtok 737101,SBIN0000105,Main Branch,1983-05-16,1
106,SBI0106,SBI Dibrugarh Main,95,AT Road Dibrugarh 786001,SBIN0000106,Regular,1977-08-15,1
107,SBI0107,SBI Silchar Main,96,Central Road Silchar 788001,SBIN0000107,Regular,1979-08-15,1
108,SBI0108,SBI Lower Parel Mumbai,1,Trade Centre Lower Parel 400013,SBIN0000108,Regular,2002-04-01,1
109,SBI0109,SBI BKC Mumbai,1,BKC Complex Bandra East 400051,SBIN0000109,Regular,2008-01-26,1
110,SBI0110,SBI Worli Mumbai,1,Worli Naka Mumbai 400018,SBIN0000110,Regular,1995-10-24,1
111,SBI0111,SBI Churchgate Mumbai,1,Churchgate Mumbai 400020,SBIN0000111,Regular,1962-08-15,1
112,SBI0112,SBI Dadar Mumbai,1,Dadar West Mumbai 400028,SBIN0000112,Regular,1970-01-26,1
113,SBI0113,SBI Vikhroli Mumbai,1,Vikhroli West Mumbai 400083,SBIN0000113,Regular,1998-03-15,1
114,SBI0114,SBI Chembur Mumbai,1,Chembur Mumbai 400071,SBIN0000114,Regular,1985-04-14,1
115,SBI0115,SBI Mulund Mumbai,1,Mulund West Mumbai 400080,SBIN0000115,Regular,1991-01-26,1
116,SBI0116,SBI Kandivali Mumbai,1,Kandivali West 400067,SBIN0000116,Regular,1994-08-15,1
117,SBI0117,SBI Goregaon Mumbai,1,Goregaon West Mumbai 400062,SBIN0000117,Regular,1996-11-14,1
118,SBI0118,SBI Versova Mumbai,1,Versova Mumbai 400061,SBIN0000118,Regular,2000-04-01,1
119,SBI0119,SBI Santacruz Mumbai,1,Santacruz West 400054,SBIN0000119,Regular,1988-01-26,1
120,SBI0120,SBI Juhu Mumbai,1,Juhu Tara Road Mumbai 400049,SBIN0000120,Regular,1992-04-14,1
